datetime,load,price,temperature_2m_d+1,precipitation_d+1,cloud_cover_d+1,is_monday,is_tuesday,is_wednesday,is_thursday,is_friday,is_saturday,is_sunday,is_holiday,utc_datetime,gmt_offset,load_d-1,load_d-7
2023-01-01 01:00:00,12509.0,5.75,8.1,0.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2023-01-01 00:00:00+00:00,1.0,,
2023-01-01 02:00:00,11845.0,5.27,7.6,0.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2023-01-01 01:00:00+00:00,1.0,,
2023-01-01 03:00:00,11462.0,5.74,6.9,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2023-01-01 02:00:00+00:00,1.0,,
2023-01-01 04:00:00,11454.0,5.22,6.4,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2023-01-01 03:00:00+00:00,1.0,,
2023-01-01 05:00:00,11561.0,6.14,5.9,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2023-01-01 04:00:00+00:00,1.0,,
2023-01-01 06:00:00,11651.0,5.31,5.7,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2023-01-01 05:00:00+00:00,1.0,,
2023-01-01 07:00:00,11707.0,5.99,5.8,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2023-01-01 06:00:00+00:00,1.0,,
2023-01-01 08:00:00,11897.0,6.63,6.2,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2023-01-01 07:00:00+00:00,1.0,,
2023-01-01 09:00:00,12449.0,6.64,7.2,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2023-01-01 08:00:00+00:00,1.0,,
2023-01-01 10:00:00,13042.0,5.17,8.4,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2023-01-01 09:00:00+00:00,1.0,,
2023-01-01 11:00:00,13588.0,8.53,9.5,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2023-01-01 10:00:00+00:00,1.0,,
2023-01-01 12:00:00,14027.0,10.72,10.4,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2023-01-01 11:00:00+00:00,1.0,,
2023-01-01 13:00:00,14417.0,14.06,10.9,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2023-01-01 12:00:00+00:00,1.0,,
2023-01-01 14:00:00,14699.0,56.41,10.8,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2023-01-01 13:00:00+00:00,1.0,,
2023-01-01 15:00:00,15123.0,91.66,10.2,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2023-01-01 14:00:00+00:00,1.0,,
2023-01-01 16:00:00,16191.0,97.81,9.5,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2023-01-01 15:00:00+00:00,1.0,,
2023-01-01 17:00:00,16482.0,102.08,8.7,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2023-01-01 16:00:00+00:00,1.0,,
2023-01-01 18:00:00,16577.0,106.34,8.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2023-01-01 17:00:00+00:00,1.0,,
